"drag-coefficient-rfile"
"Iteration" "drag-coefficient"
("Iteration" "drag-coefficient")
1 0.02111055642120336
2 0.01769313691436385
3 0.01376004704563037
4 0.01045260463876088
5 0.008889555083659436
6 0.008131061211030344
7 0.007660633626110163
8 0.008128156366352132
9 0.008983406670093907
10 0.01035311422447368
11 0.01223607843240185
12 0.01506845744829471
13 0.01845751228122581
14 0.02264573852011378
15 0.02712897989327295
16 0.03301873509784795
17 0.03922679396329137
18 0.0498640341634418
19 0.05502596059580016
20 0.05767047895472145
21 0.06365446747290447
22 0.07122290097130372
23 0.08085535221694977
24 0.08924445670804977
25 0.09008274440611966
26 0.08855212938173521
27 0.07748731634636001
28 0.05513078341763598
29 0.04693693689625241
30 0.04531155035671074
31 0.04631730747770375
32 0.04140826264678385
33 0.03259346754804616
34 0.02457258286752234
35 0.01901582890808198
36 0.01591467466665106
37 0.01333302399485899
38 0.01183285287578849
39 0.0110952014185121
40 0.01078494720724185
41 0.01066356733364289
42 0.01080332980929015
43 0.0107988100971752
44 0.01090837408685857
45 0.0108931938285245
46 0.01095856164608838
47 0.01081148532681873
48 0.01084510979565414
49 0.01080242974933152
50 0.0107819168831394
51 0.01075365167692052
52 0.01075217564373615
53 0.01073300803410564
54 0.01073330711868913
55 0.01070853339735014
56 0.01072107856766959
57 0.01072118372094039
58 0.01071289882657145
59 0.01070525075305488
60 0.01070762329906996
61 0.01069343286385267
62 0.01068863729008873
63 0.0106811548953283
64 0.01067939095478333
65 0.01067410780155439
